geno,CH65_i_MI_neg_a,CH65_i_MI_pos_a,CH65_i_MI_neg_b,CH65_i_MI_pos_b,CH65_i_MI_neg_c,CH65_i_MI_pos_c,CH65_i_SI_G189D_neg_a,CH65_i_SI_G189D_pos_a,CH65_i_SI_G189D_neg_b,CH65_i_SI_G189D_pos_b,CH65_i_SI_G189D_neg_c,CH65_i_SI_G189D_pos_c,CH65_i_unsorted
0011100111000111,7,137,7,137,7,137,14,82,14,82,14,82,186
0011100111001000,2,16,2,16,2,16,4,18,4,18,4,18,125
0011100111001001,8,13,8,13,8,13,3,27,3,27,3,27,143
0011100111001010,3,34,3,34,3,34,3,47,3,47,3,47,154
0011100111001011,11,55,11,55,11,55,12,81,12,81,12,81,107
0011100111001100,6,14,6,14,6,14,4,37,4,37,4,37,133
0011100111001101,7,21,7,21,7,21,7,38,7,38,7,38,64
0011100111001110,5,19,5,19,5,19,6,51,6,51,6,51,163
0011100111001111,12,46,12,46,12,46,12,72,12,72,12,72,131
0011100111010000,7,106,7,106,7,106,7,65,7,65,7,65,138
0011100111010001,6,51,6,51,6,51,5,90,5,90,5,90,105
0011100111010010,12,43,12,43,12,43,24,83,24,83,24,83,105
0011100111010011,5,148,5,148,5,148,4,141,4,141,4,141,87
0011100111010100,11,47,11,47,11,47,6,57,6,57,6,57,211
0011100111010101,5,36,5,36,5,36,6,75,6,75,6,75,86
0011100111010110,8,63,8,63,8,63,8,99,8,99,8,99,137
0011100111010111,8,66,8,66,8,66,8,111,8,111,8,111,106
0011100111011000,4,21,4,21,4,21,3,47,3,47,3,47,129
0011100111011001,6,72,6,72,6,72,8,71,8,71,8,71,119
0011100111011010,8,36,8,36,8,36,5,84,5,84,5,84,78
0011100111011011,2,89,2,89,2,89,3,104,3,104,3,104,83
0011100111011100,5,30,5,30,5,30,3,58,3,58,3,58,147
0011100111011101,4,37,4,37,4,37,11,65,11,65,11,65,84
0011100111011110,14,36,14,36,14,36,12,81,12,81,12,81,125
0011100111011111,13,77,13,77,13,77,9,103,9,103,9,103,74
0011100111100000,7,10,7,10,7,10,6,25,6,25,6,25,135
0011100111100001,11,12,11,12,11,12,3,24,3,24,3,24,147
0011100111100010,10,69,10,69,10,69,7,37,7,37,7,37,138
0011100111100011,4,28,4,28,4,28,13,73,13,73,13,73,169
0011100111100100,10,24,10,24,10,24,4,23,4,23,4,23,205
0011100111100101,12,12,12,12,12,12,4,28,4,28,4,28,159
0011100111100110,7,34,7,34,7,34,7,49,7,49,7,49,111
0011100111100111,11,25,11,25,11,25,10,86,10,86,10,86,110
0011100111101000,4,15,4,15,4,15,1,7,1,7,1,7,138
0011100111101001,3,21,3,21,3,21,2,14,2,14,2,14,101
0011100111101010,5,19,5,19,5,19,2,35,2,35,2,35,110
0011100111101011,117,25,117,25,117,25,10,65,10,65,10,65,79
0011100111101100,6,10,6,10,6,10,9,11,9,11,9,11,100
0011100111101101,7,10,7,10,7,10,6,18,6,18,6,18,106
0011100111101110,6,18,6,18,6,18,1,50,1,50,1,50,93
0011100111101111,29,33,29,33,29,33,13,68,13,68,13,68,157
0011100111110000,17,16,17,16,17,16,15,49,15,49,15,49,88
0011100111110001,2,31,2,31,2,31,4,47,4,47,4,47,86
0011100111110010,10,63,10,63,10,63,14,61,14,61,14,61,180
0011100111110011,11,69,11,69,11,69,1,85,1,85,1,85,149
0011100111110100,13,17,13,17,13,17,18,44,18,44,18,44,122
0011100111110101,13,24,13,24,13,24,5,54,5,54,5,54,134
0011100111110110,13,28,13,28,13,28,5,62,5,62,5,62,135
0011100111110111,13,38,13,38,13,38,7,77,7,77,7,77,157
0011100111111000,6,16,6,16,6,16,1,20,1,20,1,20,74
0011100111111001,7,17,7,17,7,17,2,30,2,30,2,30,80
0011100111111010,79,55,79,55,79,55,9,45,9,45,9,45,114
0011100111111011,9,47,9,47,9,47,3,71,3,71,3,71,89
0011100111111100,371,19,371,19,371,19,6,33,6,33,6,33,123
0011100111111101,15,39,15,39,15,39,7,50,7,50,7,50,124
0011100111111110,13,75,13,75,13,75,3,38,3,38,3,38,108
0011100111111111,25,44,25,44,25,44,9,90,9,90,9,90,82
0011101000000000,4,62,4,62,4,62,2,87,2,87,2,87,139
0011101000000001,7,137,7,137,7,137,0,112,0,112,0,112,138
0011101000000010,5,65,5,65,5,65,1,129,1,129,1,129,142
0011101000000011,6,198,6,198,6,198,2,178,2,178,2,178,117
0011101000000100,7,67,7,67,7,67,0,87,0,87,0,87,88
0011101000000101,3,58,3,58,3,58,2,119,2,119,2,119,84
0011101000000110,11,66,11,66,11,66,1,126,1,126,1,126,157
0011101000000111,9,181,9,181,9,181,2,156,2,156,2,156,77
0011101000001000,5,65,5,65,5,65,1,74,1,74,1,74,92
0011101000001001,4,41,4,41,4,41,0,89,0,89,0,89,95
0011101000001010,365,56,365,56,365,56,3,134,3,134,3,134,107
0011101000001011,3,130,3,130,3,130,2,106,2,106,2,106,87
0011101000001100,10,109,10,109,10,109,3,107,3,107,3,107,95
0011101000001101,6,27,6,27,6,27,3,89,3,89,3,89,100
0011101000001110,15,150,15,150,15,150,2,122,2,122,2,122,179
0011101000001111,11,102,11,102,11,102,1,170,1,170,1,170,78
0011101000010000,2,268,2,268,2,268,0,121,0,121,0,121,101
0011101000010001,2,70,2,70,2,70,1,118,1,118,1,118,77
0011101000010010,4,104,4,104,4,104,0,98,0,98,0,98,125
0011101000010011,6,86,6,86,6,86,4,166,4,166,4,166,104
0011101000010100,3,120,3,120,3,120,2,103,2,103,2,103,94
0011101000010101,1,85,1,85,1,85,0,117,0,117,0,117,82
0011101000010110,1,131,1,131,1,131,4,102,4,102,4,102,82
0011101000010111,1,105,1,105,1,105,0,134,0,134,0,134,58
0011101000011000,2,118,2,118,2,118,1,88,1,88,1,88,86
0011101000011001,3,138,3,138,3,138,0,110,0,110,0,110,83
0011101000011010,2,68,2,68,2,68,0,91,0,91,0,91,104
0011101000011011,2,99,2,99,2,99,0,127,0,127,0,127,83
0011101000011100,1,143,1,143,1,143,0,83,0,83,0,83,158
0011101000011101,2,148,2,148,2,148,0,117,0,117,0,117,124
0011101000011110,1,157,1,157,1,157,1,127,1,127,1,127,128
0011101000011111,4,146,4,146,4,146,5,134,5,134,5,134,70
0011101000100000,2,59,2,59,2,59,0,85,0,85,0,85,82
0011101000100001,0,157,0,157,0,157,1,102,1,102,1,102,107
0011101000100010,1,62,1,62,1,62,0,110,0,110,0,110,99
0011101000100011,0,153,0,153,0,153,1,140,1,140,1,140,207
0011101000100100,0,80,0,80,0,80,0,69,0,69,0,69,141
0011101000100101,1,91,1,91,1,91,2,89,2,89,2,89,87
0011101000100110,0,46,0,46,0,46,2,93,2,93,2,93,113
0011101000100111,0,95,0,95,0,95,0,126,0,126,0,126,72
0011101000101000,1,35,1,35,1,35,0,71,0,71,0,71,66
0011101000101001,0,37,0,37,0,37,0,82,0,82,0,82,59
0011101000101010,2,97,2,97,2,97,0,71,0,71,0,71,49
0011101000101011,0,73,0,73,0,73,1,132,1,132,1,132,95
0011101000101100,3,50,3,50,3,50,2,71,2,71,2,71,64
0011101000101101,1,112,1,112,1,112,2,52,2,52,2,52,68
0011101000101110,2,108,2,108,2,108,1,94,1,94,1,94,156
0011101000101111,1,71,1,71,1,71,0,131,0,131,0,131,131
0011101000110000,2,53,2,53,2,53,1,77,1,77,1,77,99
0011101000110001,0,72,0,72,0,72,1,101,1,101,1,101,67
0011101000110010,2,140,2,140,2,140,1,120,1,120,1,120,167
0011101000110011,3,367,3,367,3,367,1,148,1,148,1,148,114
0011101000110100,1,83,1,83,1,83,2,97,2,97,2,97,83
0011101000110101,1,99,1,99,1,99,0,118,0,118,0,118,120
0011101000110110,2,140,2,140,2,140,1,93,1,93,1,93,82
0011101000110111,0,129,0,129,0,129,2,115,2,115,2,115,119
0011101000111000,0,107,0,107,0,107,0,75,0,75,0,75,99
0011101000111001,2,99,2,99,2,99,1,89,1,89,1,89,91
0011101000111010,0,65,0,65,0,65,0,77,0,77,0,77,117
0011101000111011,0,68,0,68,0,68,0,103,0,103,0,103,83
0011101000111100,6,163,6,163,6,163,1,93,1,93,1,93,148
0011101000111101,1,162,1,162,1,162,7,98,7,98,7,98,64
0011101000111110,0,211,0,211,0,211,2,99,2,99,2,99,156
0011101000111111,1,113,1,113,1,113,0,119,0,119,0,119,177
0011101001000000,2,26,2,26,2,26,3,27,3,27,3,27,121
0011101001000001,1,24,1,24,1,24,1,43,1,43,1,43,119
0011101001000010,2,100,2,100,2,100,3,60,3,60,3,60,122
0011101001000011,0,122,0,122,0,122,1,171,1,171,1,171,107
0011101001000100,3,33,3,33,3,33,3,39,3,39,3,39,139
0011101001000101,2,22,2,22,2,22,4,44,4,44,4,44,97
0011101001000110,3,28,3,28,3,28,0,73,0,73,0,73,240
0011101001000111,1,55,1,55,1,55,3,111,3,111,3,111,103
0011101001001000,3,11,3,11,3,11,0,26,0,26,0,26,149
0011101001001001,3,13,3,13,3,13,4,44,4,44,4,44,96
0011101001001010,1,50,1,50,1,50,0,63,0,63,0,63,147
0011101001001011,0,85,0,85,0,85,1,104,1,104,1,104,153
0011101001001100,2,17,2,17,2,17,3,30,3,30,3,30,91
0011101001001101,0,14,0,14,0,14,2,41,2,41,2,41,127
0011101001001110,3,34,3,34,3,34,1,67,1,67,1,67,100
0011101001001111,2,54,2,54,2,54,3,96,3,96,3,96,114
0011101001010000,0,79,0,79,0,79,2,94,2,94,2,94,113
0011101001010001,1,92,1,92,1,92,1,97,1,97,1,97,86
0011101001010010,1,87,1,87,1,87,4,91,4,91,4,91,112
0011101001010011,2,101,2,101,2,101,1,153,1,153,1,153,93
0011101001010100,1,55,1,55,1,55,2,71,2,71,2,71,118
0011101001010101,3,96,3,96,3,96,0,110,0,110,0,110,102
0011101001010110,3,63,3,63,3,63,1,117,1,117,1,117,125
0011101001010111,1,116,1,116,1,116,0,166,0,166,0,166,86
0011101001011000,1,52,1,52,1,52,1,61,1,61,1,61,90
0011101001011001,0,102,0,102,0,102,1,86,1,86,1,86,91
0011101001011010,2,94,2,94,2,94,1,96,1,96,1,96,191
0011101001011011,0,152,0,152,0,152,1,139,1,139,1,139,71
0011101001011100,4,96,4,96,4,96,1,72,1,72,1,72,90
0011101001011101,2,65,2,65,2,65,3,79,3,79,3,79,102
0011101001011110,0,40,0,40,0,40,4,123,4,123,4,123,105
0011101001011111,0,94,0,94,0,94,2,130,2,130,2,130,102
0011101001100000,0,27,0,27,0,27,1,19,1,19,1,19,168
0011101001100001,0,20,0,20,0,20,1,32,1,32,1,32,138
0011101001100010,0,76,0,76,0,76,1,61,1,61,1,61,148
0011101001100011,0,44,0,44,0,44,1,115,1,115,1,115,218
0011101001100100,0,15,0,15,0,15,0,29,0,29,0,29,114
0011101001100101,0,12,0,12,0,12,3,53,3,53,3,53,113
0011101001100110,1,74,1,74,1,74,1,63,1,63,1,63,280
0011101001100111,0,120,0,120,0,120,0,81,0,81,0,81,181
0011101001101000,0,11,0,11,0,11,0,19,0,19,0,19,142
0011101001101001,0,16,0,16,0,16,0,21,0,21,0,21,115
0011101001101010,0,35,0,35,0,35,1,50,1,50,1,50,125
0011101001101011,1,36,1,36,1,36,1,82,1,82,1,82,101
0011101001101100,1,22,1,22,1,22,1,24,1,24,1,24,146
0011101001101101,1,19,1,19,1,19,0,35,0,35,0,35,176
0011101001101110,1,24,1,24,1,24,1,51,1,51,1,51,177
0011101001101111,0,56,0,56,0,56,2,63,2,63,2,63,184
0011101001110000,0,25,0,25,0,25,3,52,3,52,3,52,89
0011101001110001,0,46,0,46,0,46,0,67,0,67,0,67,146
0011101001110010,2,128,2,128,2,128,1,87,1,87,1,87,137
0011101001110011,0,120,0,120,0,120,0,115,0,115,0,115,74
0011101001110100,0,22,0,22,0,22,0,76,0,76,0,76,101
0011101001110101,0,33,0,33,0,33,0,53,0,53,0,53,187
0011101001110110,1,132,1,132,1,132,1,73,1,73,1,73,159
0011101001110111,1,70,1,70,1,70,0,128,0,128,0,128,121
0011101001111000,0,33,0,33,0,33,0,37,0,37,0,37,79
0011101001111001,0,30,0,30,0,30,1,74,1,74,1,74,100
0011101001111010,1,43,1,43,1,43,1,85,1,85,1,85,88
0011101001111011,1,78,1,78,1,78,1,104,1,104,1,104,199
0011101001111100,1,23,1,23,1,23,0,59,0,59,0,59,65
0011101001111101,0,26,0,26,0,26,0,68,0,68,0,68,94
0011101001111110,0,69,0,69,0,69,1,73,1,73,1,73,125
0011101001111111,0,46,0,46,0,46,0,125,0,125,0,125,95
0011101010000000,0,178,0,178,0,178,3,134,3,134,3,134,144
0011101010000001,0,109,0,109,0,109,2,140,2,140,2,140,187
0011101010000010,2,192,2,192,2,192,0,122,0,122,0,122,125
0011101010000011,2,181,2,181,2,181,1,190,1,190,1,190,164
0011101010000100,2,85,2,85,2,85,1,148,1,148,1,148,171
0011101010000101,3,136,3,136,3,136,0,151,0,151,0,151,96
0011101010000110,4,110,4,110,4,110,0,114,0,114,0,114,118
0011101010000111,1,196,1,196,1,196,2,169,2,169,2,169,89
0011101010001000,2,109,2,109,2,109,0,85,0,85,0,85,83
0011101010001001,0,72,0,72,0,72,1,126,1,126,1,126,102
0011101010001010,3,107,3,107,3,107,0,121,0,121,0,121,87
0011101010001011,3,102,3,102,3,102,5,180,5,180,5,180,163
0011101010001100,3,62,3,62,3,62,2,124,2,124,2,124,97
0011101010001101,1,171,1,171,1,171,0,105,0,105,0,105,70
0011101010001110,5,95,5,95,5,95,3,149,3,149,3,149,130
0011101010001111,0,123,0,123,0,123,1,145,1,145,1,145,123
0011101010010000,1,132,1,132,1,132,1,154,1,154,1,154,107
0011101010010001,2,58,2,58,2,58,1,121,1,121,1,121,93
0011101010010010,4,117,4,117,4,117,1,117,1,117,1,117,99
0011101010010011,0,178,0,178,0,178,0,174,0,174,0,174,76
0011101010010100,0,124,0,124,0,124,0,124,0,124,0,124,125
0011101010010101,3,209,3,209,3,209,3,188,3,188,3,188,137
0011101010010110,19,136,19,136,19,136,10,108,10,108,10,108,126
0011101010010111,0,153,0,153,0,153,0,165,0,165,0,165,112
0011101010011000,3,54,3,54,3,54,1,109,1,109,1,109,133
0011101010011001,3,307,3,307,3,307,1,134,1,134,1,134,145
0011101010011010,2,108,2,108,2,108,0,121,0,121,0,121,107
0011101010011011,0,143,0,143,0,143,1,161,1,161,1,161,104
0011101010011100,1,178,1,178,1,178,0,129,0,129,0,129,85
0011101010011101,2,112,2,112,2,112,2,103,2,103,2,103,66
0011101010011110,2,119,2,119,2,119,3,120,3,120,3,120,135
0011101010011111,1,124,1,124,1,124,5,162,5,162,5,162,101
0011101010100000,1,90,1,90,1,90,1,135,1,135,1,135,142
0011101010100001,0,59,0,59,0,59,0,119,0,119,0,119,77
0011101010100010,3,83,3,83,3,83,1,102,1,102,1,102,106
0011101010100011,0,113,0,113,0,113,1,184,1,184,1,184,119
0011101010100100,2,105,2,105,2,105,0,70,0,70,0,70,118
0011101010100101,2,46,2,46,2,46,1,136,1,136,1,136,99
0011101010100110,0,73,0,73,0,73,2,105,2,105,2,105,174
0011101010100111,4,204,4,204,4,204,4,143,4,143,4,143,245
0011101010101000,1,72,1,72,1,72,0,101,0,101,0,101,66
0011101010101001,1,79,1,79,1,79,1,96,1,96,1,96,93
0011101010101010,4,68,4,68,4,68,1,95,1,95,1,95,82
0011101010101011,0,155,0,155,0,155,0,140,0,140,0,140,147
0011101010101100,1,66,1,66,1,66,0,97,0,97,0,97,90
0011101010101101,0,41,0,41,0,41,0,121,0,121,0,121,90
0011101010101110,1,100,1,100,1,100,2,123,2,123,2,123,104
0011101010101111,2,91,2,91,2,91,0,113,0,113,0,113,120
0011101010110000,6,75,6,75,6,75,1,136,1,136,1,136,213
0011101010110001,156,136,156,136,156,136,3,127,3,127,3,127,110
0011101010110010,2,67,2,67,2,67,3,93,3,93,3,93,98
0011101010110011,3,111,3,111,3,111,1,165,1,165,1,165,93
0011101010110100,0,169,0,169,0,169,0,129,0,129,0,129,163
0011101010110101,3,187,3,187,3,187,2,154,2,154,2,154,108
0011101010110110,1,57,1,57,1,57,0,115,0,115,0,115,96
0011101010110111,2,192,2,192,2,192,0,160,0,160,0,160,104
0011101010111000,1,90,1,90,1,90,1,90,1,90,1,90,138
0011101010111001,1,137,1,137,1,137,2,140,2,140,2,140,85
0011101010111010,1,91,1,91,1,91,2,84,2,84,2,84,120
0011101010111011,1,85,1,85,1,85,0,129,0,129,0,129,63
0011101010111100,3,66,3,66,3,66,1,98,1,98,1,98,112
0011101010111101,2,84,2,84,2,84,2,133,2,133,2,133,125
0011101010111110,3,90,3,90,3,90,1,91,1,91,1,91,76
0011101010111111,1,120,1,120,1,120,2,162,2,162,2,162,124
0011101011000000,0,47,0,47,0,47,0,85,0,85,0,85,137
0011101011000001,2,79,2,79,2,79,0,84,0,84,0,84,118
0011101011000010,4,127,4,127,4,127,4,94,4,94,4,94,173
0011101011000011,2,111,2,111,2,111,2,152,2,152,2,152,172
0011101011000100,0,40,0,40,0,40,0,76,0,76,0,76,121
0011101011000101,1,48,1,48,1,48,4,109,4,109,4,109,143
0011101011000110,2,92,2,92,2,92,2,124,2,124,2,124,157
0011101011000111,1,122,1,122,1,122,5,162,5,162,5,162,136
0011101011001000,0,49,0,49,0,49,0,41,0,41,0,41,126
0011101011001001,2,91,2,91,2,91,2,108,2,108,2,108,153
0011101011001010,1,58,1,58,1,58,2,83,2,83,2,83,144
0011101011001011,1,76,1,76,1,76,3,145,3,145,3,145,144
0011101011001100,1,31,1,31,1,31,3,55,3,55,3,55,93
0011101011001101,2,61,2,61,2,61,2,95,2,95,2,95,81
0011101011001110,1,48,1,48,1,48,0,83,0,83,0,83,158
0011101011001111,0,101,0,101,0,101,1,117,1,117,1,117,107
0011101011010000,1,90,1,90,1,90,1,129,1,129,1,129,104
0011101011010001,1,78,1,78,1,78,3,123,3,123,3,123,156
0011101011010010,2,121,2,121,2,121,1,93,1,93,1,93,112
0011101011010011,2,143,2,143,2,143,2,178,2,178,2,178,90
0011101011010100,0,47,0,47,0,47,0,96,0,96,0,96,159
0011101011010101,0,101,0,101,0,101,0,115,0,115,0,115,73
0011101011010110,2,71,2,71,2,71,0,126,0,126,0,126,176
0011101011010111,1,254,1,254,1,254,2,155,2,155,2,155,173
0011101011011000,0,41,0,41,0,41,3,73,3,73,3,73,69
0011101011011001,1,141,1,141,1,141,0,139,0,139,0,139,108
0011101011011010,1,91,1,91,1,91,0,109,0,109,0,109,144
0011101011011011,1,67,1,67,1,67,1,147,1,147,1,147,100
0011101011011100,0,106,0,106,0,106,0,113,0,113,0,113,120
0011101011011101,0,56,0,56,0,56,0,113,0,113,0,113,62
0011101011011110,0,59,0,59,0,59,1,112,1,112,1,112,95
0011101011011111,0,135,0,135,0,135,5,148,5,148,5,148,80
0011101011100000,0,24,0,24,0,24,2,65,2,65,2,65,100
0011101011100001,0,46,0,46,0,46,0,84,0,84,0,84,89
0011101011100010,0,39,0,39,0,39,1,89,1,89,1,89,95
0011101011100011,0,124,0,124,0,124,0,121,0,121,0,121,234
0011101011100100,0,20,0,20,0,20,0,68,0,68,0,68,188
0011101011100101,0,72,0,72,0,72,1,94,1,94,1,94,144
0011101011100110,0,72,0,72,0,72,4,117,4,117,4,117,132
0011101011100111,0,49,0,49,0,49,0,128,0,128,0,128,107
0011101011101000,0,14,0,14,0,14,0,37,0,37,0,37,94
0011101011101001,0,77,0,77,0,77,1,61,1,61,1,61,168
0011101011101010,0,57,0,57,0,57,1,72,1,72,1,72,206
0011101011101011,1,127,1,127,1,127,0,143,0,143,0,143,154
0011101011101100,0,83,0,83,0,83,0,44,0,44,0,44,64
0011101011101101,1,33,1,33,1,33,1,50,1,50,1,50,154
0011101011101110,0,71,0,71,0,71,2,87,2,87,2,87,137
0011101011101111,0,112,0,112,0,112,0,125,0,125,0,125,101
0011101011110000,0,32,0,32,0,32,2,91,2,91,2,91,110
0011101011110001,0,95,0,95,0,95,1,79,1,79,1,79,103
0011101011110010,1,101,1,101,1,101,0,125,0,125,0,125,152
0011101011110011,0,175,0,175,0,175,0,155,0,155,0,155,152
0011101011110100,0,66,0,66,0,66,1,88,1,88,1,88,144
0011101011110101,1,143,1,143,1,143,0,131,0,131,0,131,115
0011101011110110,3,104,3,104,3,104,0,133,0,133,0,133,115
0011101011110111,0,103,0,103,0,103,2,137,2,137,2,137,103
0011101011111000,0,75,0,75,0,75,4,92,4,92,4,92,71
0011101011111001,0,34,0,34,0,34,1,80,1,80,1,80,71
0011101011111010,0,75,0,75,0,75,0,107,0,107,0,107,83
0011101011111011,0,80,0,80,0,80,1,124,1,124,1,124,88
0011101011111100,1,65,1,65,1,65,0,79,0,79,0,79,86
0011101011111101,2,72,2,72,2,72,1,90,1,90,1,90,90
0011101011111110,0,63,0,63,0,63,0,123,0,123,0,123,83
0011101011111111,0,71,0,71,0,71,0,137,0,137,0,137,101
0011101100000000,1,107,1,107,1,107,3,94,3,94,3,94,158
0011101100000001,1,78,1,78,1,78,3,115,3,115,3,115,130
0011101100000010,2,84,2,84,2,84,8,122,8,122,8,122,96
0011101100000011,0,137,0,137,0,137,3,185,3,185,3,185,164
0011101100000100,1,78,1,78,1,78,6,105,6,105,6,105,122
0011101100000101,6,115,6,115,6,115,3,127,3,127,3,127,221
0011101100000110,2,119,2,119,2,119,2,116,2,116,2,116,131
0011101100000111,2,275,2,275,2,275,6,162,6,162,6,162,125
0011101100001000,0,49,0,49,0,49,2,90,2,90,2,90,99
0011101100001001,3,104,3,104,3,104,0,118,0,118,0,118,88
0011101100001010,0,115,0,115,0,115,1,96,1,96,1,96,117
0011101100001011,0,120,0,120,0,120,3,177,3,177,3,177,113
0011101100001100,0,74,0,74,0,74,3,82,3,82,3,82,110
0011101100001101,0,114,0,114,0,114,2,94,2,94,2,94,85
0011101100001110,1,135,1,135,1,135,1,135,1,135,1,135,147
0011101100001111,1,125,1,125,1,125,8,181,8,181,8,181,136
0011101100010000,2,73,2,73,2,73,7,162,7,162,7,162,114
0011101100010001,1,54,1,54,1,54,2,119,2,119,2,119,77
0011101100010010,0,87,0,87,0,87,2,113,2,113,2,113,95
0011101100010011,0,186,0,186,0,186,0,169,0,169,0,169,88
0011101100010100,2,222,2,222,2,222,1,132,1,132,1,132,107
0011101100010101,2,105,2,105,2,105,0,130,0,130,0,130,142
0011101100010110,1,111,1,111,1,111,3,114,3,114,3,114,85
0011101100010111,0,163,0,163,0,163,1,165,1,165,1,165,106
0011101100011000,0,121,0,121,0,121,0,85,0,85,0,85,103
0011101100011001,3,75,3,75,3,75,2,105,2,105,2,105,98
0011101100011010,1,159,1,159,1,159,0,139,0,139,0,139,77
0011101100011011,1,230,1,230,1,230,6,152,6,152,6,152,82
0011101100011100,15,77,15,77,15,77,4,98,4,98,4,98,83
0011101100011101,1,84,1,84,1,84,2,88,2,88,2,88,72
0011101100011110,0,112,0,112,0,112,4,123,4,123,4,123,99
0011101100011111,0,214,0,214,0,214,1,119,1,119,1,119,88
0011101100100000,1,70,1,70,1,70,3,88,3,88,3,88,164
0011101100100001,0,45,0,45,0,45,1,74,1,74,1,74,156
0011101100100010,0,99,0,99,0,99,2,97,2,97,2,97,108
0011101100100011,1,201,1,201,1,201,1,144,1,144,1,144,187
0011101100100100,0,32,0,32,0,32,0,61,0,61,0,61,120
0011101100100101,0,75,0,75,0,75,2,100,2,100,2,100,87
0011101100100110,0,82,0,82,0,82,1,93,1,93,1,93,141
0011101100100111,0,85,0,85,0,85,0,149,0,149,0,149,94
0011101100101000,1,68,1,68,1,68,2,52,2,52,2,52,85
0011101100101001,0,35,0,35,0,35,2,71,2,71,2,71,112
0011101100101010,0,40,0,40,0,40,1,110,1,110,1,110,114
0011101100101011,0,118,0,118,0,118,0,121,0,121,0,121,97
0011101100101100,1,73,1,73,1,73,0,53,0,53,0,53,116
0011101100101101,0,48,0,48,0,48,0,79,0,79,0,79,136
0011101100101110,0,63,0,63,0,63,2,85,2,85,2,85,77
0011101100101111,0,67,0,67,0,67,0,124,0,124,0,124,76
0011101100110000,1,167,1,167,1,167,0,112,0,112,0,112,154
0011101100110001,3,85,3,85,3,85,0,114,0,114,0,114,133
0011101100110010,0,140,0,140,0,140,0,140,0,140,0,140,110
0011101100110011,0,182,0,182,0,182,0,173,0,173,0,173,185
0011101100110100,0,33,0,33,0,33,0,96,0,96,0,96,148
0011101100110101,0,62,0,62,0,62,0,107,0,107,0,107,116
0011101100110110,0,166,0,166,0,166,0,124,0,124,0,124,159
0011101100110111,0,179,0,179,0,179,0,166,0,166,0,166,163
0011101100111000,0,84,0,84,0,84,0,80,0,80,0,80,156
0011101100111001,0,56,0,56,0,56,0,114,0,114,0,114,96
0011101100111010,0,115,0,115,0,115,0,97,0,97,0,97,154
0011101100111011,0,217,0,217,0,217,0,117,0,117,0,117,265
0011101100111100,0,103,0,103,0,103,1,105,1,105,1,105,120
0011101100111101,0,123,0,123,0,123,0,95,0,95,0,95,110
0011101100111110,0,78,0,78,0,78,0,112,0,112,0,112,130
0011101100111111,0,164,0,164,0,164,0,134,0,134,0,134,84
0011101101000000,0,60,0,60,0,60,1,52,1,52,1,52,175
0011101101000001,0,38,0,38,0,38,0,62,0,62,0,62,152
0011101101000010,0,66,0,66,0,66,2,99,2,99,2,99,127
0011101101000011,0,143,0,143,0,143,1,150,1,150,1,150,150
0011101101000100,1,57,1,57,1,57,2,60,2,60,2,60,189
0011101101000101,3,29,3,29,3,29,4,65,4,65,4,65,86
0011101101000110,0,57,0,57,0,57,1,94,1,94,1,94,236
0011101101000111,1,121,1,121,1,121,6,173,6,173,6,173,133
0011101101001000,0,61,0,61,0,61,0,33,0,33,0,33,188
0011101101001001,0,69,0,69,0,69,0,69,0,69,0,69,152
0011101101001010,1,71,1,71,1,71,0,85,0,85,0,85,139
0011101101001011,0,79,0,79,0,79,0,149,0,149,0,149,133
0011101101001100,2,38,2,38,2,38,0,48,0,48,0,48,185
0011101101001101,0,30,0,30,0,30,1,55,1,55,1,55,170
0011101101001110,0,48,0,48,0,48,1,87,1,87,1,87,207
0011101101001111,0,97,0,97,0,97,2,128,2,128,2,128,134
0011101101010000,1,40,1,40,1,40,2,106,2,106,2,106,172
0011101101010001,1,53,1,53,1,53,1,122,1,122,1,122,92
0011101101010010,0,58,0,58,0,58,1,88,1,88,1,88,106
0011101101010011,0,126,0,126,0,126,0,198,0,198,0,198,87
0011101101010100,0,79,0,79,0,79,0,108,0,108,0,108,102
0011101101010101,0,50,0,50,0,50,5,123,5,123,5,123,101
0011101101010110,0,177,0,177,0,177,0,115,0,115,0,115,162
0011101101010111,1,127,1,127,1,127,0,163,0,163,0,163,126
0011101101011000,0,50,0,50,0,50,2,58,2,58,2,58,142
0011101101011001,1,39,1,39,1,39,0,97,0,97,0,97,96
0011101101011010,2,116,2,116,2,116,0,155,0,155,0,155,81
0011101101011011,0,140,0,140,0,140,1,145,1,145,1,145,82
0011101101011100,1,52,1,52,1,52,1,75,1,75,1,75,118
0011101101011101,0,61,0,61,0,61,1,113,1,113,1,113,127
0011101101011110,0,92,0,92,0,92,0,127,0,127,0,127,90
0011101101011111,1,111,1,111,1,111,2,148,2,148,2,148,100
0011101101100000,1,11,1,11,1,11,0,19,0,19,0,19,130
0011101101100001,0,23,0,23,0,23,1,42,1,42,1,42,149
0011101101100010,0,41,0,41,0,41,0,81,0,81,0,81,115
0011101101100011,0,85,0,85,0,85,0,104,0,104,0,104,232
0011101101100100,0,19,0,19,0,19,0,29,0,29,0,29,106
0011101101100101,0,13,0,13,0,13,2,35,2,35,2,35,112
0011101101100110,2,36,2,36,2,36,0,73,0,73,0,73,168
0011101101100111,0,110,0,110,0,110,1,99,1,99,1,99,130
0011101101101000,0,10,0,10,0,10,2,18,2,18,2,18,106
